time,max_temperature_1,max_temperature_2,max_temperature_3,max_temperature_true,min_temperature_1,min_temperature_2,min_temperature_3,min_temperature_true
2022-9-1,37,34,38,38,23,22,25,22
2022-9-2,38,36,36,37,22,21,24,22
2022-9-3,39,36,37,36,23,23,24,23
2022-9-4,39,38,39,33,24,24,26,25
2022-9-5,37,37,37,33,24,23,26,23
2022-9-6,37,33,36,32,23,22,25,23
2022-9-7,38,34,37,31,23,22,26,22
2022-9-8,36,37,37,30,23,22,26,23
2022-9-9,36,37,37,30,21,22,27,22
2022-9-10,27,27,27,30,21,21,24,22
2022-9-11,33,31,29,30,22,24,24,24
2022-9-12,32,29,29,29,22,22,24,22
2022-9-13,31,29,29,28,19,20,22,21
2022-9-14,30,28,29,28,18,19,20,20
2022-9-15,29,26,28,27,17,17,19,19
2022-9-16,29,27,29,27,17,17,20,18
2022-9-17,28,25,26,27,17,17,19,18
2022-9-18,27,24,26,27,16,17,20,19
2022-9-19,28,26,26,27,16,16,19,18
2022-9-20,29,27,29,27,17,17,20,19
2022-9-21,28,26,29,27,16,16,19,18
2022-9-22,31,28,31,27,16,16,18,17
2022-9-23,33,29,32,26,16,16,19,18
2022-9-24,32,29,33,26,18,19,22,21
2022-9-25,32,29,33,26,18,18,22,20
2022-9-26,33,29,34,26,18,18,22,20
2022-9-27,34,30,36,26,18,18,23,20
2022-9-28,33,31,36,25,19,19,23,21
2022-9-29,30,25,33,25,18,18,22,19
2022-9-30,28,26,28,25,18,18,20,19
2022-10-1,27,24,27,25,16,17,18,19
2022-10-2,28,24,29,24,17,18,18,19
2022-10-3,28,23,29,24,17,16,19,18
2022-10-4,29,27,31,24,17,16,19,18
2022-10-5,28,25,31,24,17,18,20,19
2022-10-6,28,24,29,24,18,19,20,20
2022-10-7,28,25,30,24,17,18,20,19
2022-10-8,28,25,31,24,17,18,20,19
2022-10-9,28,23,29,24,17,18,20,18
2022-10-10,27,24,28,24,16,16,20,18
2022-10-11,27,24,26,24,18,18,18,19
2022-10-12,27,25,25,24,17,18,20,19
2022-10-13,26,22,28,24,17,18,19,18
2022-10-14,22,21,26,24,17,18,19,18
2022-10-15,22,21,21,24,16,17,18,18
2022-10-16,21,22,23,24,14,16,18,18
2022-10-17,26,23,26,24,14,14,17,15
2022-10-18,31,29,31,23,15,16,18,18
2022-10-19,33,34,34,23,17,18,20,19
2022-10-20,32,31,32,23,18,19,21,21
2022-10-21,28,25,29,23,17,18,19,18
2022-10-22,24,20,21,23,15,17,18,17
2022-10-23,23,22,23,23,12,13,15,16
2022-10-24,25,23,26,23,12,12,14,13
2022-10-25,26,24,25,23,12,13,15,13
2022-10-26,24,22,23,23,12,13,15,15
2022-10-27,25,23,24,23,12,13,15,14
2022-10-28,24,23,25,23,12,12,15,14
2022-10-29,25,22,26,23,12,12,15,13
2022-10-30,27,24,29,23,12,14,15,14
2022-10-31,24,24,26,23,12,13,15,13
2022-11-1,22,22,22,23,13,14,16,17
2022-11-2,21,19,19,23,9,13,14,14
2022-11-3,19,17,19,23,8,9,11,12
2022-11-4,21,19,21,23,9,9,10,10
2022-11-5,23,20,23,23,9,10,12,12
2022-11-6,22,19,21,23,11,11,13,12
2022-11-7,19,17,16,23,9,12,15,14
2022-11-8,18,19,17,22,9,11,12,12
2022-11-9,18,17,17,22,7,9,12,11
2022-11-10,20,19,21,22,7,7,9,8
2022-11-11,22,21,22,22,7,8,10,9
2022-11-12,21,19,20,22,7,10,10,9
2022-11-13,21,20,20,22,8,8,10,10
2022-11-14,21,20,21,22,7,9,10,10
2022-11-15,22,21,23,22,8,9,10,9
2022-11-16,23,22,25,22,7,9,11,9
2022-11-17,24,23,25,22,8,11,10,11
2022-11-18,21,20,22,22,7,11,10,9
2022-11-19,23,23,24,22,7,10,11,9
2022-11-20,24,24,25,21,8,12,10,11
2022-11-21,23,23,23,21,8,12,10,12
2022-11-22,23,22,23,21,7,11,11,11
2022-11-23,22,21,24,21,7,9,10,8
2022-11-24,24,25,27,21,8,9,11,9
2022-11-25,23,23,25,21,8,11,11,10
2022-11-26,22,21,21,21,8,10,11,9
2022-11-27,22,19,21,21,8,9,11,10
2022-11-28,19,17,17,21,12,12,13,13
2022-11-29,19,17,17,21,8,11,12,12
2022-11-30,19,17,18,21,9,10,10,10
2022-12-1,16,15,15,21,9,12,12,13
2022-12-2,16,15,16,21,10,11,12,11
2022-12-3,21,21,19,21,10,11,11,12
2022-12-4,18,18,18,21,12,12,14,13
2022-12-5,18,16,18,21,8,11,12,12
2022-12-6,17,17,16,21,7,9,11,10
2022-12-7,16,16,16,21,5,8,9,7
2022-12-8,17,16,18,21,5,6,8,7
2022-12-9,17,16,16,21,6,7,8,7
2022-12-10,18,18,16,21,6,8,9,9
2022-12-11,14,14,15,20,4,8,10,12
2022-12-12,13,12,14,20,4,7,8,8
2022-12-13,16,14,15,20,4,6,7,8
2022-12-14,17,16,17,20,5,7,7,7
2022-12-15,16,17,16,20,6,7,8,9
2022-12-16,19,19,20,20,7,8,9,11
2022-12-17,17,18,18,20,7,8,7,9
2022-12-18,18,17,18,20,5,8,7,8
2022-12-19,18,18,20,20,6,6,7,7
2022-12-20,19,18,18,20,7,9,8,9
2022-12-21,21,19,23,20,7,8,8,7
2022-12-22,20,21,20,20,8,10,10,9
2022-12-23,19,19,22,20,8,9,10,9
2022-12-24,24,25,26,20,8,10,10,9
2022-12-25,26,28,27,20,12,15,12,13
2022-12-26,25,26,24,20,10,13,12,13
2022-12-27,18,18,17,20,11,12,13,12
2022-12-28,18,17,19,20,11,10,12,12
2022-12-29,16,16,15,20,11,12,13,13
2022-12-30,16,16,15,20,12,13,12,13
2022-12-31,16,15,15,20,12,13,14,14
2023-1-1,15,17,17,20,6,11,11,12
2023-1-2,14,14,15,20,6,8,8,9
2023-1-3,14,14,15,20,9,9,10,10
2023-1-4,17,16,16,20,12,13,13,14
2023-1-5,16,16,14,19,8,9,11,13
2023-1-6,16,17,18,19,7,7,9,8
2023-1-7,18,19,19,19,8,10,9,11
2023-1-8,18,18,18,19,8,9,10,10
2023-1-9,14,14,16,19,11,11,13,12
2023-1-10,16,16,15,19,8,11,12,13
2023-1-11,16,17,16,19,8,8,9,8
2023-1-12,20,22,21,19,8,11,10,11
2023-1-13,18,18,19,19,8,12,11,12
2023-1-14,13,14,14,19,9,10,12,11
2023-1-15,14,15,15,19,9,10,11,11
2023-1-16,15,15,15,19,6,8,10,10
2023-1-17,14,14,16,19,5,7,7,8
2023-1-18,15,16,16,19,5,6,6,7
2023-1-19,15,14,15,19,6,6,7,7
2023-1-20,16,16,17,19,5,6,6,7
2023-1-21,17,17,19,19,4,4,6,7
2023-1-22,16,17,17,19,4,6,7,6
2023-1-23,17,19,18,19,4,9,7,9
2023-1-24,19,18,20,19,5,7,7,7
2023-1-25,21,22,21,19,5,7,7,7
2023-1-26,20,21,23,19,6,9,9,8
2023-1-27,20,19,20,19,6,8,8,8
2023-1-28,18,17,17,19,6,8,8,8
2023-1-29,15,14,14,19,7,9,10,10
2023-1-30,15,14,15,19,7,8,9,9
2023-1-31,18,18,17,19,4,6,7,7
2023-2-1,19,19,18,19,5,6,6,5
2023-2-2,20,20,18,19,4,7,7,7
2023-2-3,21,21,20,19,7,11,10,11
2023-2-4,22,21,21,19,7,9,9,8
2023-2-5,18,18,18,19,7,10,11,11
2023-2-6,21,21,20,19,6,11,8,12
2023-2-7,22,20,23,19,7,8,8,10
2023-2-8,23,22,24,19,7,8,10,9
2023-2-9,27,26,27,19,7,11,10,10
2023-2-10,24,24,25,19,9,13,11,13
2023-2-11,17,16,17,19,6,8,10,9
2023-2-12,16,15,15,19,6,7,8,8
2023-2-13,19,17,17,19,8,8,9,9
2023-2-14,16,15,16,19,7,8,9,10
2023-2-15,19,17,17,19,3,7,5,8
2023-2-16,18,17,17,19,2,4,6,6
2023-2-17,21,19,18,18,6,8,7,8
2023-2-18,22,20,19,18,5,9,8,9
2023-2-19,22,19,19,18,5,7,7,7
2023-2-20,23,22,21,18,7,8,9,9
2023-2-21,18,18,17,18,8,9,10,11
2023-2-22,16,12,15,18,4,7,8,9
2023-2-23,14,12,12,18,4,7,7,5
2023-2-24,11,12,12,18,6,7,8,8
2023-2-25,9,9,11,18,4,6,6,7
2023-2-26,15,13,13,18,3,4,6,5
2023-2-27,11,11,12,18,6,7,9,8
2023-2-28,17,14,15,18,6,7,10,8
2023-3-1,14,13,14,18,5,8,9,9
2023-3-2,21,17,18,18,4,6,8,8
2023-3-3,20,17,19,18,4,6,10,7
2023-3-4,19,15,17,18,6,7,11,8
2023-3-5,15,15,16,18,6,8,8,10
2023-3-6,19,16,15,18,7,7,9,10
2023-3-7,21,16,16,18,6,7,8,8
2023-3-8,18,16,14,18,6,6,7,7
2023-3-9,22,19,19,18,7,7,6,9
2023-3-10,13,13,14,18,11,10,11,11
2023-3-11,17,16,19,18,12,13,11,14
2023-3-12,21,17,21,18,12,12,13,13
2023-3-13,21,19,20,18,11,12,12,12
2023-3-14,15,14,17,18,11,12,12,13
2023-3-15,16,15,18,18,11,12,12,13
2023-3-16,16,17,19,18,8,9,10,12
2023-3-17,21,18,20,17,7,8,8,9
2023-3-18,23,24,23,17,9,10,9,11
2023-3-19,17,16,20,17,11,12,11,12
2023-3-20,17,16,18,17,11,12,10,12
2023-3-21,15,16,13,17,8,8,9,9
2023-3-22,13,14,15,17,7,8,9,9
2023-3-23,21,16,20,17,6,9,9,11
2023-3-24,21,18,21,17,7,11,5,12
2023-3-25,23,18,20,17,7,8,5,9
2023-3-26,24,19,21,17,6,11,3,11
2023-3-27,30,22,23,17,6,8,6,9
2023-3-28,27,22,19,17,9,10,10,12
2023-3-29,18,15,18,17,8,8,9,9
2023-3-30,16,15,17,17,6,7,8,8
2023-3-31,18,18,17,17,6,7,7,8
2023-4-1,23,20,22,17,7,8,8,9
2023-4-2,21,19,19,17,8,9,9,9
2023-4-3,19,18,18,17,9,11,10,12
